Jane Grace,Assignment,0.94,0.71,0.7,0.46,0.57,Test,0.92,0.33,0.72,Lab,0.96,0.52,0.59,0.1,0.08
Brian Clark,Assignment,0.76,0.19,0.13,0.07,0.64,Test,0.26,0.28,0.02,Lab,0.31,0.5,0.67,0.45,0.95
Juan Contreraz,Assignment,0.67,0.81,0.56,0.41,0.71,Test,0.21,0.07,0.19,Lab,0.67,0.3,0.8,0.14,0.57
Brandon Harris,Assignment,0.21,0.57,0.29,0.37,0.46,Test,0.14,0.12,0.73,Lab,0.72,0.24,0.61,0.91,0.69
Briana Halle,Assignment,0.25,0.22,0.27,0.28,0.84,Test,0.45,0.82,0.91,Lab,0.97,0.99,0.16,0.29,0.99
Brett Kincaid,Assignment,0.44,0.63,0.49,0.16,0.42,Test,0.34,0.5,0.46,Lab,0.57,0.15,0.46,0.28,0.72
Brad Manor,Assignment,0.77,0.54,0.89,0.43,0.71,Test,0.7,0.65,0.21,Lab,0.82,0.29,0.68,0.61,0.12
Tiffany Harris,Assignment,0.33,0.35,0.74,0.91,0.91,Test,0.39,0.13,0.03,Lab,0.92,0.31,0.31,0.46,0.59
John McNeal,Assignment,0.79,0.02,0.94,0.04,0.85,Test,0.77,0.16,0.39,Lab,0.04,0.42,0.17,0.94,0.56
Perdeep Sudemvar,Assignment,0.28,0.54,0.19,0.22,0.9,Test,0.41,0.76,0.38,Lab,0.23,0.09,0.22,0.53,0.63
Rocio Shanz,Assignment,0.52,0.65,0.54,0.66,0.33,Test,0.21,0.49,0.97,Lab,0.25,0.06,0.28,0.97,0.12
Evan Watkins,Assignment,0.22,0.57,0.77,0.21,0.14,Test,0.69,0.16,0.67,Lab,0.71,0.95,0.44,0.41,0.07
Guido Wood,Assignment,0.02,0.35,0.43,0.76,0.79,Test,0.04,0.48,0.78,Lab,0.76,0.2,0.84,0.09,1
Peter Glasser,Assignment,0.03,0.57,0.42,0.06,0.55,Test,0.16,0.5,0.02,Lab,0.98,0.05,0.24,0.62,0.32
Mike Koch,Assignment,0.35,0.96,0.28,0.54,0.16,Test,0.46,0.82,0.15,Lab,0.19,0.02,0.3,0.72,0.4
Jason Langford,Assignment,0.89,0.06,0.92,0.46,0.23,Test,0.52,0.55,0.09,Lab,0.58,0.68,0.71,0.03,0.74
Kayla Strobel,Assignment,0.88,0.88,0.27,0.86,0.85,Test,0.91,0.85,0.66,Lab,0.13,0.92,0.29,0.46,0.53
Alex Yee,Assignment,0.3,0.2,0.51,0.92,0.46,Test,0.37,0.54,0.59,Lab,0.34,0.46,0.72,0.52,0.07
Michaela Butler,Assignment,0.14,0.08,0.04,0.68,0.57,Test,0.8,0.16,0.05,Lab,0.56,0.56,0.99,0.04,0.79
Lisa Damian,Assignment,0.98,0.19,0.16,0.32,0.64,Test,0.32,0.79,0.01,Lab,0.16,0.93,0.44,0.44,0.68
Larry Sanders,Assignment,0.46,0.29,0.47,0.76,0.89,Test,0.35,0.24,0.71,Lab,0.51,0.31,0.71,0.13,0.98
