Grace Jane,Assignment,0.94,0.71,0.7,0.46,0.57,0.89,0.86,0.82,Test,0.92,0.33,0.72,0.78,0.24,Lab,0.96,0.52,0.59,0.1,0.08,0.06,0.11,0.77,0.06
Clark Brian,Assignment,0.76,0.19,0.13,0.07,0.64,0.74,0.67,0.71,Test,0.26,0.28,0.02,0.81,0.97,Lab,0.31,0.5,0.67,0.45,0.95,0.45,0.72,0.62,0.98
Contreraz Juan,Assignment,0.67,0.81,0.56,0.41,0.71,0.32,0.53,0.15,Test,0.21,0.07,0.19,0.85,0.1,Lab,0.67,0.3,0.8,0.14,0.57,0.74,0.66,0.34,0.28
Harris Brandon,Assignment,0.21,0.57,0.29,0.37,0.46,0.96,0.89,0.79,Test,0.14,0.12,0.73,0.68,0.37,Lab,0.72,0.24,0.61,0.91,0.69,0.94,0.79,0.31,0.26
Halle Briana,Assignment,0.25,0.22,0.27,0.28,0.84,0.79,0.03,0.21,Test,0.45,0.82,0.91,0.38,0.66,Lab,0.97,0.99,0.16,0.29,0.99,0.53,0.84,0.33,0.98
Kincaid Brett,Assignment,0.44,0.63,0.49,0.16,0.42,0.71,0.97,0.46,Test,0.34,0.5,0.46,0.6,0.35,Lab,0.57,0.15,0.46,0.28,0.72,0.26,0.88,0.18,0.22
Manor Brad,Assignment,0.77,0.54,0.89,0.43,0.71,0.76,0.71,0.57,Test,0.7,0.65,0.21,0.72,0.26,Lab,0.82,0.29,0.68,0.61,0.12,0.82,0.41,0.45,0.15
Harris Tiffany,Assignment,0.33,0.35,0.74,0.91,0.91,0.66,0.04,0.65,Test,0.39,0.13,0.03,0.1,0.86,Lab,0.92,0.31,0.31,0.46,0.59,0.91,0.35,0.01,0.81
McNeal John,Assignment,0.79,0.02,0.94,0.04,0.85,0.7,0.33,0.51,Test,0.77,0.16,0.39,0.78,0.1,Lab,0.04,0.42,0.17,0.94,0.56,0.47,0.97,0.72,0.77
Sudemvar Perdeep,Assignment,0.28,0.54,0.19,0.22,0.9,0.63,0.49,0.6,Test,0.41,0.76,0.38,0.92,0.86,Lab,0.23,0.09,0.22,0.53,0.63,0.73,0.47,0.5,0.61
Shanz Rocio,Assignment,0.52,0.65,0.54,0.66,0.33,0.18,0.41,0.78,Test,0.21,0.49,0.97,0.35,0.65,Lab,0.25,0.06,0.28,0.97,0.12,0.46,0.61,0.96,0.66
Watkins Evan,Assignment,0.22,0.57,0.77,0.21,0.14,0.13,0.8,0.44,Test,0.69,0.16,0.67,0.71,0.32,Lab,0.71,0.95,0.44,0.41,0.07,0.78,0.56,0.56,0.71
Wood Guido,Assignment,0.02,0.35,0.43,0.76,0.79,0.89,0.73,0.12,Test,0.04,0.48,0.78,0.84,0.37,Lab,0.76,0.2,0.84,0.09,1,0.28,0.81,0.16,0.62
Glasser Peter,Assignment,0.03,0.57,0.42,0.06,0.55,0.88,0.77,0.17,Test,0.16,0.5,0.02,0.71,0.26,Lab,0.98,0.05,0.24,0.62,0.32,0.54,0.49,0.82,0.8
Koch Mike,Assignment,0.35,0.96,0.28,0.54,0.16,0.79,0.87,0.95,Test,0.46,0.82,0.15,0.06,0.73,Lab,0.19,0.02,0.3,0.72,0.4,0.49,0.06,0.75,0.3
Langford Jason,Assignment,0.89,0.06,0.92,0.46,0.23,0.44,0.5,0.24,Test,0.52,0.55,0.09,0.57,0.45,Lab,0.58,0.68,0.71,0.03,0.74,0.92,0.26,0.17,0.77
Strobel Kayla,Assignment,0.88,0.88,0.27,0.86,0.85,0.52,0.19,0.66,Test,0.91,0.85,0.66,0.52,0.92,Lab,0.13,0.92,0.29,0.46,0.53,0.72,0.93,0.57,0.54
Yee Alex,Assignment,0.3,0.2,0.51,0.92,0.46,0.77,0.81,0.42,Test,0.37,0.54,0.59,0.97,0.38,Lab,0.34,0.46,0.72,0.52,0.07,0.49,0.62,0.6,0.74
Butler Michaela,Assignment,0.14,0.08,0.04,0.68,0.57,0.15,0.76,0.52,Test,0.8,0.16,0.05,0,0.75,Lab,0.56,0.56,0.99,0.04,0.79,0.21,0.09,0.19,0.24
Damian Lisa,Assignment,0.98,0.19,0.16,0.32,0.64,0.48,0.48,0.54,Test,0.32,0.79,0.01,0.05,0.77,Lab,0.16,0.93,0.44,0.44,0.68,0.69,0.66,0.47,0.49
Sanders Larry,Assignment,0.46,0.29,0.47,0.76,0.89,0.49,0.21,0.51,Test,0.35,0.24,0.71,0.66,0.58,Lab,0.51,0.31,0.71,0.13,0.98,0.45,0.95,0.41,0.21
Adelman Tyson,Assignment,0.31,0.77,0.29,0.39,0.27,0.41,0.3,0.52,Test,0.48,0.59,0.66,0.7,0.59,Lab,0.18,0.88,0.8,0.48,0.13,0.19,0.39,0.46,0.95
Wayne Bruce,Assignment,0.34,0.11,0.99,0.02,0.11,0.12,0.3,0.1,Test,0.03,0.46,0.44,0.31,0.83,Lab,0.18,0.69,0.65,0.08,0.68,0.05,0.51,0.05,0.29
Reeves Chris,Assignment,0.9,0.31,0.07,0.18,0.36,0.46,0.68,0.67,Test,0.31,0.84,0.19,0.52,0.9,Lab,0.96,1,0.36,0.36,0.62,0.79,0.77,0.58,0.7
Hands Thomas,Assignment,0.61,0,0.91,0.8,0.27,0.94,0.95,0.39,Test,0.21,0.48,0.87,0.56,0.49,Lab,0.83,0.48,0.72,0.52,0.71,0.67,0.96,0.19,0.2
Leher James,Assignment,0.35,0.33,0.59,0.05,0.42,0.61,0.57,0.31,Test,0.44,0.69,0.39,1,0.3,Lab,0.59,0.64,0.14,0.14,0.43,0.19,0.5,0.83,0.53
Ames Aldridge,Assignment,0.56,0.84,0.68,0.37,0.14,0.53,0.8,0.11,Test,0.46,0.78,0.03,0.69,0.65,Lab,0.3,0.84,0.8,0.8,0.16,0.08,0.16,0.1,0.71
Garza Juan,Assignment,0.59,0.38,0.51,0.72,0.39,0.85,0.54,0.42,Test,0.28,0.85,0.64,0.85,0.76,Lab,0.11,0.44,0.03,0.33,0.29,0.46,0.34,0.86,0.67
Buble Michael,Assignment,0.22,0.24,0.95,0.16,0.09,0.89,0.62,0.48,Test,0.04,0.65,0.12,0.21,0.36,Lab,0.11,0.67,0.55,0.75,0.36,0.36,1,0.36,0.33
Sinatra Frank,Assignment,0.02,0.9,0.83,0.38,0.2,0.22,0.11,0.6,Test,0.45,0.54,0.51,0.79,0.56,Lab,0.99,0.05,0.86,0.13,0.28,0.89,0.2,0.91,0.8
Benido Antonio,Assignment,0.14,0.83,0.78,0.48,0.2,0.32,0.26,0.56,Test,0.43,0.65,0.31,0.84,0.71,Lab,0.43,0.08,0.46,1,0.1,0.51,0.69,0.26,0.72
Prima Louis,Assignment,0.81,0.4,0.03,0.96,0.7,0.49,0.18,0.63,Test,0.89,0.48,0.9,0.96,0.98,Lab,0.13,0.3,0.9,0.67,0.78,0.04,0.42,0.06,0.5
Seinfeld Jerry,Assignment,0.82,0.95,0.38,0.62,0.49,0.34,0.7,0.69,Test,0.61,0.95,0.42,0.46,0.75,Lab,0.25,0.74,0.65,0.69,0.96,0.37,0.4,0.77,0.28
Nicoll Jayce,Assignment,0.06,0.63,0.07,0.02,0.3,0.07,0.63,0.44,Test,0.01,0.31,0.08,0.42,0.6,Lab,0.03,0.12,0.56,0.09,0.38,0.95,0.35,0.9,0.51
Robertson Phil,Assignment,0.39,0.75,0.79,0.64,0.54,0.47,0.02,0.67,Test,0.05,0.77,0.05,0.1,0.82,Lab,0.22,0.4,0.64,0.21,0.01,0.44,0.38,0.34,0.69
Peabody Mae,Assignment,0.81,0.04,0.33,0.19,0.35,0.55,0.35,0.41,Test,0.86,0.95,0.21,0.51,0.9,Lab,0.68,0.48,0.33,0.61,0.94,0.52,0.9,0.81,0.37
Rushdie Salman,Assignment,0.33,0.43,0.72,0.85,0.72,0.07,0.14,0.88,Test,0.32,0.02,0.34,0.48,0.7,Lab,0.16,0.81,0.27,0.57,0.22,0.18,0.23,0.65,0.33
Singh Eli,Assignment,0.94,0.75,0.81,0.07,0,0.9,0.95,0.2,Test,0.22,0.54,0.39,0.86,0.98,Lab,0.7,0.23,0.73,0.22,0.63,0.66,0.53,0.2,0.18
DiSimone Joseph,Assignment,0.03,0.1,0.51,0.85,0.72,0.34,0.79,0.51,Test,0.7,0.5,0.93,0.54,0.47,Lab,0.68,0.72,0.84,0.07,0.62,0.36,0.33,0.94,0.2
Weitz Allen,Assignment,0.95,0.31,0.29,0.62,0.04,0.44,0.85,0.58,Test,0.52,0.14,0.56,0.78,0.5,Lab,0.11,0.2,0.62,0.29,0.32,0.44,0.29,0.48,0.61
Velazquez Tammy,Assignment,0.07,0.15,0.56,0.82,0.38,0.69,0.95,0.21,Test,0.72,0.21,0.83,0.7,0.74,Lab,0.82,0.99,1,0.71,0.18,0.55,0.78,0.96,0.75
Pine Torrey,Assignment,0.51,0.11,0.64,0.47,0.7,0.51,0.91,0.01,Test,0.39,0.19,0.09,0.37,0.95,Lab,0.33,0.63,0.74,0.72,0.19,0.53,0.36,0.83,0.82
Caruso Andrea,Assignment,0.06,0.74,0.91,0.9,0.18,0.33,0.49,0.48,Test,0.11,0.42,0.56,0.1,0.91,Lab,0.51,0.01,0.93,0.82,0.67,0.18,0.62,0.45,0.89
Xavier Charles,Assignment,0.41,0.6,0.16,0.64,0.73,0.1,0.05,0.24,Test,0.28,0.31,0.98,0.7,0.62,Lab,0.6,0.7,0.05,0.2,0.38,0.13,0.27,0.36,0.59
Mann Otto,Assignment,0.65,0.92,0.08,0.49,0.84,0.89,0.43,0.65,Test,0.99,0.86,0.26,0.82,0.95,Lab,0.32,0.84,0.62,0.02,0.28,0.92,0.66,0.29,0.02
Arnaz Desi,Assignment,0.4,0.24,0.21,0.75,0.36,0.39,0.73,0.99,Test,0.81,0.21,0.04,0.87,0.04,Lab,0.62,0.92,0.97,0.47,0.66,0.85,1,0.71,0.51
Hein Aiden,Assignment,0.34,0.96,0.02,0.08,0.86,0.57,0.26,0.08,Test,0.57,0.12,0.63,0.91,0.33,Lab,0.4,0.8,0.25,0.24,1,0.67,0.31,0.96,0.49
Wynn Elaine,Assignment,0.4,0.38,0.17,0.61,0.34,0.86,0.1,0.88,Test,0.19,0.08,0.79,0.93,0.99,Lab,0.45,0.71,0.56,0.2,0.97,0.15,0.19,0.54,0.08
Stefan Diana,Assignment,0.63,0.85,0.94,0.53,0.08,0.55,0.66,0.9,Test,0.06,0.88,0.25,0.41,0.45,Lab,0.83,0.17,0.22,0.13,0.89,0.75,0.9,0.17,0.39
Grey Jean,Assignment,0.14,0.26,0.45,0.59,1,0,0.48,0.03,Test,0.37,0.78,0.27,0.23,0.33,Lab,0.72,0.72,0.74,0.05,0.03,0.93,0.99,0.06,0.32
Summers Scott,Assignment,0.35,0.64,0.14,0.91,0.76,0.94,0.79,0.42,Test,0.33,0.29,0.92,0.97,0.68,Lab,0.57,0.73,0.55,0.41,0.24,0.48,0.27,0.76,0.9
Wolf Logan,Assignment,0.18,0.39,0.61,0.5,0.43,1,0.79,0.26,Test,0.35,0.5,0.23,0.13,0.12,Lab,0.19,0.08,0.94,0.65,0.75,0.93,0.33,0.26,0.51
Callahan Katie,Assignment,0.09,0,0.02,0.32,0.65,0.68,0.22,0.38,Test,0.4,0.58,0.12,0.99,0.61,Lab,0.37,0.91,0.8,0.67,0.8,0.83,0.11,0.37,0.21
Davis Sandra,Assignment,0.78,0.02,0.87,0.12,1,0.38,0.06,0.06,Test,0.53,0.91,0.02,0.61,0.96,Lab,0.62,0.25,0.42,0.15,0.5,0.3,0.09,0.03,0.3
Kerwin Anna,Assignment,0.99,0.04,0.46,0.78,0.3,0.44,0.39,0.93,Test,0.66,0.51,0.71,0.1,0.5,Lab,0.02,0.81,0.82,0.37,0.31,0.23,0.43,0.66,0.9
Lees Owen,Assignment,0.28,0.75,0.23,0.35,0.04,0.51,0.83,0.92,Test,0.1,0.25,0.64,0.6,0.03,Lab,0.86,0.33,0.85,0.65,0.96,0.16,0.02,0.05,0.8
Welsch Louann,Assignment,0.02,0.85,0.3,0.91,0.26,0.72,0.6,0.37,Test,0.99,0.51,0.86,0.09,0.5,Lab,0.85,0.12,0.7,0.86,0.59,0.59,0.99,0.88,0.27
